code5,city,主なイベント,主な学校,市町村合併,土砂災害警戒区域_土石流,土砂災害警戒区域_地すべり,土砂災害警戒区域_急傾斜地,土砂災害警戒区域_合計,砂防指定地数,地すべり防止区域数,急傾斜地崩壊危険区域数,砂防三法_合計
17201,金沢市,金沢百万石まつり、金沢マラソン、金沢JAZZ STREET,金沢大学、金沢美術工芸大学、金沢泉丘高等学校、金沢二水高等学校,平成の大合併なし,230.0,82.0,247.0,559.0,106.0,13.0,39.0,158.0
17202,七尾市,青柏祭、能登よさこい祭り、七尾港まつり,七尾高等学校、七尾東雲高等学校、田鶴浜高等学校,2004年：旧七尾市＋田鶴浜町＋中島町＋能登島町,192.0,45.0,201.0,438.0,15.0,8.0,54.0,77.0
17203,小松市,お旅まつり、小松市どんどんまつり、航空祭 in KOMATSU,公立小松大学、小松高等学校、小松工業高等学校,平成の大合併なし,181.0,13.0,66.0,260.0,27.0,0.0,13.0,40.0
17204,輪島市,輪島大祭、輪島市民まつり、あえの風冬まつり,輪島高等学校、門前高等学校、輪島中学校,2006年：旧輪島市＋門前町,374.0,217.0,375.0,966.0,116.0,49.0,78.0,243.0
17205,珠洲市,飯田燈籠山祭り、珠洲まつり、奥能登国際芸術祭,飯田高等学校、緑丘中学校、大谷小中学校,平成の大合併なし,91.0,76.0,164.0,331.0,54.0,27.0,29.0,110.0
17206,加賀市,山代大田楽、山中温泉こいこい祭、片山津温泉納涼花火,大聖寺高等学校、大聖寺実業高等学校、加賀高等学校,2005年：旧加賀市＋山中町,78.0,21.0,101.0,200.0,22.0,2.0,18.0,42.0
17207,羽咋市,唐戸山神事相撲、羽咋まつり、千里浜関連イベント,羽咋高等学校、羽咋工業高等学校、羽咋中学校,平成の大合併なし,54.0,7.0,17.0,78.0,29.0,4.0,4.0,37.0
17209,かほく市,かほく四季まつり、サマーフェスタinかほく、かほく市制記念イベント,石川県立看護大学、宇ノ気中学校、河北台中学校,2004年：高松町＋七塚町＋宇ノ気町,12.0,2.0,30.0,44.0,7.0,0.0,7.0,14.0
17210,白山市,ほうらい祭り、白峰若葉まつり、白山白川郷ウルトラマラソン,金城大学、金城大学短期大学部、松任高等学校、翠星高等学校,2005年：松任市＋美川町＋鶴来町＋河内村＋吉野谷村＋鳥越村＋尾口村＋白峰村,139.0,20.0,91.0,250.0,185.0,6.0,23.0,214.0
17211,能美市,九谷陶芸村まつり、根上り七夕まつり、辰口まつり,北陸先端科学技術大学院大学、寺井高等学校、辰口中学校,2005年：根上町＋寺井町＋辰口町,64.0,1.0,41.0,106.0,2.0,0.0,4.0,6.0
17212,野々市市,野々市じょんからまつり、北国街道野々市の市、野々市市文化祭,金沢工業大学、石川県立大学、野々市明倫高等学校,合併なし。2011年に野々市町が単独市制,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17324,川北町,川北まつり・北國大花火川北大会、町民文化祭,川北中学校、川北小学校、中島小学校、橘小学校,平成の大合併なし,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17361,津幡町,津幡ふるさとまつり、八朔まつり、倶利迦羅不動寺八重桜まつり,津幡高等学校、津幡中学校、津幡南中学校,平成の大合併なし,78.0,48.0,57.0,183.0,34.0,10.0,33.0,77.0
17365,内灘町,世界の凧の祭典、内灘町民夏まつり、サンセットブリッジ関連イベント,金沢医科大学、内灘高等学校、内灘中学校,平成の大合併なし,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0
17384,志賀町,西能登やっちゃ祭り、冨木八朔祭礼、志賀町祭,志賀高等学校、志賀中学校、富来中学校,2005年：旧志賀町＋富来町,130.0,15.0,100.0,245.0,23.0,1.0,22.0,46.0
17386,宝達志水町,宝浪漫マラソン、宝達志水町民祭、千里浜関連イベント,宝達高等学校、宝達中学校,2005年：志雄町＋押水町,33.0,30.0,53.0,116.0,16.0,6.0,8.0,30.0
17407,中能登町,織姫夏ものがたり、おにぎりの里中能登まつり、石動山関連イベント,鹿西高等学校、中能登中学校,2005年：鳥屋町＋鹿島町＋鹿西町,130.0,4.0,36.0,170.0,47.0,0.0,2.0,49.0
17461,穴水町,雪中ジャンボかきまつり、長谷部まつり、ローエル祭,穴水高等学校、穴水中学校,平成の大合併なし,93.0,12.0,115.0,220.0,15.0,0.0,36.0,51.0
17463,能登町,あばれ祭、ござれ祭り、松波人形キリコ祭り,能登高等学校、能都中学校、柳田中学校、小木中学校,2005年：能都町＋柳田村＋内浦町,240.0,68.0,218.0,526.0,53.0,12.0,93.0,158.0
