code5,city,region,pop2020,pop_current_2025jan,pop2050,pop2050_index_2020,local_tax_thousand,resident_tax_thousand,fixed_tax_thousand,revenue_total_thousand,per_capita_tax_yen,tax_share_revenue_pct,tax2050_simple_thousand,tax2050_simple_index,video_file,drive_id
17201,金沢市,石川中央,463254,443123,404449,87.30609989336303,85876202,36880971,33766210,217429616,193797.66340271212,39.496092381453686,78381271.16556351,91.27240066527803,17201_金沢市_人口ピラミッド_2020-2050.mp4,1tE21iqw9Egoy2MQqd5VSUUcJDMNxnNzb
17209,かほく市,石川中央,34889,36200,30439,87.24526355011608,4300824,1872661,1728929,23439228,118807.29281767955,18.34882957749291,3616375.186077348,84.08563535911601,17209_かほく市_人口ピラミッド_2020-2050.mp4,1XcjLmuepR1Nrb5057m6L4dKaPTGcJ5P0
17210,白山市,石川中央,110408,112524,94293,85.40413738134917,18992021,7395600,9531908,63716310,168781.9576268174,29.807157696357496,15914957.130505493,83.79812306707902,17210_白山市_人口ピラミッド_2020-2050.mp4,1l1UqPqM2lJToAWLobDjzuOtIJbQCmMYL
17212,野々市市,石川中央,57238,54583,55360,96.718962926727,8675796,3693188,3759562,25038460,158946.85158382647,34.64987862672066,8799297.703680633,101.42352014363445,17212_野々市市_人口ピラミッド_2020-2050.mp4,1akLO0TUsBaK5oeUQWbzg4ckomAQjhQkG
17361,津幡町,石川中央,36957,37521,32050,86.72240712179018,4381996,2072216,1776145,19792562,116787.8254843954,22.139609819082544,3743049.806774873,85.41883212067908,17361_津幡町_人口ピラミッド_2020-2050.mp4,11o1xlTIJ_U95ck6P54aIR8DGEh1YqH4K
17365,内灘町,石川中央,26574,25662,20566,77.39143523745014,2563424,1388689,829947,14649482,99891.82448756917,17.49839345855369,2054375.2624113476,80.1418439716312,17365_内灘町_人口ピラミッド_2020-2050.mp4,1Uise8I541lyEkrT_KplUAlBWn8RkCjGs
17203,小松市,南加賀,106216,105475,86175,81.131844543195,16647959,7538752,7040502,57325090,157837.96160227543,29.04131332371218,13601686.341076083,81.70182507703247,17203_小松市_人口ピラミッド_2020-2050.mp4,1XSnyOgz7A2PKCMy3bvHqJ1acUWGBy25u
17206,加賀市,南加賀,63220,61703,36571,57.847200253084466,9282196,3793916,4049939,38849060,150433.46352689498,23.89297450182836,5501502.194642075,59.269403432572155,17206_加賀市_人口ピラミッド_2020-2050.mp4,1EQ5XMua-29R9L6g169w7BFwWxlVle537
17211,能美市,南加賀,48523,49704,42084,86.73000432784453,9049204,3461969,4461452,30440155,182061.88636729438,29.72785125437108,7661892.425881217,84.66924191211976,17211_能美市_人口ピラミッド_2020-2050.mp4,1Iti3xQYXSMxzXqeMCK_d59nBkobzNrco
17324,川北町,南加賀,6135,6041,5418,88.31295843520782,1313899,398094,838261,5620715,217496.93759311372,23.37601177074447,1178398.4078794902,89.68713789107764,17324_川北町_人口ピラミッド_2020-2050.mp4,1V5PWrgaT1ltDDGQ3ekA9YNvVB085fFaB
17202,七尾市,中能登,50300,46500,27443,54.55864811133201,7721475,2585710,4107528,68659241,166053.2258064516,11.246082664968581,4556998.675806452,59.01720430107527,17202_七尾市_人口ピラミッド_2020-2050.mp4,1IOj0mBEb7TCMmIVXxvfKlTdLGrhH2a35
17207,羽咋市,中能登,20407,19585,11063,54.211790072034105,2607857,1039348,1168844,18090708,133155.83354608118,14.415450185808096,1473102.9865202962,56.48710748021445,17207_羽咋市_人口ピラミッド_2020-2050.mp4,1Qrnv0Ur3q1Qd5SQN81SdYIa8DlcODQtn
17384,志賀町,中能登,18630,17609,8740,46.913580246913575,3939480,832241,2848658,31992520,223719.6887955023,12.313753339843188,1955310.08007269,49.633710034641375,17384_志賀町_人口ピラミッド_2020-2050.mp4,1C6Tweo81MfyQ9LJDlEAhk08Tym2zRAB5
17386,宝達志水町,中能登,12121,11822,6245,51.52215163765366,1656244,636495,912977,13483702,140098.46049737776,12.283303205603326,874914.8858061242,52.82524107596007,17386_宝達志水町_人口ピラミッド_2020-2050.mp4,1ylAuZNXidTeMnYshkP--LaHqoCMFkc-U
17407,中能登町,中能登,16540,16529,10166,61.463119709794434,1659468,681209,821306,17074831,100397.36221187004,9.718796045477697,1020639.5842458709,61.50402323189545,17407_中能登町_人口ピラミッド_2020-2050.mp4,1CCnrdPF2WXCv4IY8N4KcjaMyPgbeX1Hr
17204,輪島市,奥能登,24608,20928,10754,43.70123537061119,2048765,674628,1037965,114207932,97895.88111620795,1.7938902877603982,1052772.3055237003,51.385703363914374,17204_輪島市_人口ピラミッド_2020-2050.mp4,1znmRZHzeMoqLZwLc0Lw_sqM06tBhg6jk
17205,珠洲市,奥能登,12929,11374,5083,39.314718849098924,1141573,418908,535101,85470396,100366.88939687006,1.335635557368893,510164.8988042905,44.68964304554247,17205_珠洲市_人口ピラミッド_2020-2050.mp4,1SKeDb3_Iql-G83m5MjJRtVR9BHJhT88V
17461,穴水町,奥能登,7890,6907,3729,47.26235741444867,1019357,273068,633805,31931045,147583.17648762124,3.1923696828587977,550337.6651223396,53.988707108730274,17461_穴水町_人口ピラミッド_2020-2050.mp4,12vp7U8oor97eNSsQvqCE92Eq4QdYSglB
17463,能登町,奥能登,15687,14331,6173,39.35105501370562,1494478,572540,673745,42387843,104282.88326006559,3.525723165484028,643738.2383643849,43.074453980880605,17463_能登町_人口ピラミッド_2020-2050.mp4,1QKBD1cyJH4DIUS6fg6V5M3PESysofUjU
