code5,city,region,pop2020,pop_current_2025jan,pop2050,pop2050_index_2020,local_tax_thousand,resident_tax_thousand,fixed_tax_thousand,revenue_total_thousand,per_capita_tax_yen,tax_share_revenue_pct,tax2050_simple_thousand,tax2050_simple_index,video_file,drive_id,pop1995,pop2000,pop2005,pop2010,pop2015,pop_current,youth_count,working_count,elderly_count,youth_pct,working_pct,elderly_pct,peak_year,peak_pop,current_index_peak,pop2050_index_peak,peak_to_current_pct,peak_to_2050_pct,current_to_2050_pct,youth2050_count,working2050_count,elderly2050_count,youth2050_pct,working2050_pct,elderly2050_pct,per_capita_tax_yen_latest,tax2050_simple_thousand_latest,tax2050_simple_index_latest,source_historical,source_current_age,source_future,source_tax
17201,金沢市,石川中央,463254,443123,404449,87.30609989336303,85876202,36880971,33766210,217429616,193797.6634027121,39.496092381453686,78381271.16556351,91.27240066527804,17201_金沢市_人口ピラミッド_2020-2050.mp4,1tE21iqw9Egoy2MQqd5VSUUcJDMNxnNzb,453975,456438,454607,462361,465699,454163,49606,266242,124134,11.274552140769394,60.51202094631144,28.213426912919164,2015,465699,97.52286348048848,86.84772782419546,-2.4771365195115247,-13.152272175804548,-10.9462902085815,41202,216602,146645,10.187192946453075,53.554836332887454,36.257970720659465,189086.74198470594,76475943.70897233,89.0537097914185,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17202,七尾市,中能登,50300,46500,27443,54.55864811133201,7721475,2585710,4107528,68659241,166053.2258064516,11.24608266496858,4556998.675806452,59.01720430107527,17202_七尾市_人口ピラミッド_2020-2050.mp4,1IOj0mBEb7TCMmIVXxvfKlTdLGrhH2a35,67368,63963,61871,57900,55325,44555,3761,21855,18401,8.54442601722062,49.651271099802344,41.80430288297703,1995,67368,66.13674147963424,40.735957724735776,-33.86325852036576,-59.26404227526423,-38.40646392099652,1906,11901,13636,6.945304813613672,43.36625004554895,49.68844514083737,173302.09852990686,4755929.489956234,61.59353607900348,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17203,小松市,南加賀,106216,105475,86175,81.131844543195,16647959,7538752,7040502,57325090,157837.96160227543,29.04131332371218,13601686.341076083,81.70182507703247,17203_小松市_人口ピラミッド_2020-2050.mp4,1XSnyOgz7A2PKCMy3bvHqJ1acUWGBy25u,107965,108622,109084,108433,106919,103332,12502,59231,30244,12.259627170832639,58.08270492365926,29.657667905508106,2005,109084,94.72699937662719,78.99875325437277,-5.273000623372814,-21.00124674562722,-16.603762629195217,9460,45168,31547,10.977661734841892,52.414273281114006,36.6080649840441,161111.35950141292,13883771.405034257,83.39623737080477,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17204,輪島市,奥能登,24608,20928,10754,43.70123537061119,2048765,674628,1037965,114207932,97895.88111620797,1.7938902877603982,1052772.3055237003,51.38570336391437,17204_輪島市_人口ピラミッド_2020-2050.mp4,1znmRZHzeMoqLZwLc0Lw_sqM06tBhg6jk,37133,34531,32823,29858,27216,18708,1140,7708,9737,6.133979015334948,41.474307237019104,52.39171374764595,1995,37133,50.38106266663076,28.96076266393774,-49.61893733336924,-71.03923733606226,-42.5165704511439,626,4176,5952,5.821089827041101,38.832062488376415,55.34684768458248,109512.77528330126,1177700.3853966217,57.4834295488561,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17205,珠洲市,奥能登,12929,11374,5083,39.31471884909893,1141573,418908,535101,85470396,100366.88939687006,1.335635557368893,510164.8988042905,44.68964304554247,17205_珠洲市_人口ピラミッド_2020-2050.mp4,1SKeDb3_Iql-G83m5MjJRtVR9BHJhT88V,21580,19852,18050,16300,14625,9812,583,3792,5416,5.954447962414462,38.72944540904913,55.31610662853641,1995,21580,45.46802594995366,23.55421686746988,-54.53197405004634,-76.44578313253012,-48.196086424785975,285,1655,3143,5.606925044265198,32.55951209915404,61.83356285658076,116344.57806767224,591379.4903179781,51.80391357521403,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17206,加賀市,南加賀,63220,61703,36571,57.84720025308447,9282196,3793916,4049939,38849060,150433.46352689498,23.89297450182836,5501502.194642075,59.26940343257216,17206_加賀市_人口ピラミッド_2020-2050.mp4,1EQ5XMua-29R9L6g169w7BFwWxlVle537,80333,78563,74982,71887,67186,58747,5655,30964,21893,9.664684167350288,52.9190593382554,37.41625649439431,1995,80333,73.12934908443603,45.52425528736634,-26.870650915563964,-54.475744712633656,-37.74831055202819,2786,15950,17835,7.61805802411747,43.61379234912909,48.768149626753434,158002.893764788,5778323.827872062,62.25168944797181,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17207,羽咋市,中能登,20407,19585,11063,54.211790072034105,2607857,1039348,1168844,18090708,133155.83354608118,14.415450185808096,1473102.9865202962,56.48710748021445,17207_羽咋市_人口ピラミッド_2020-2050.mp4,1Qrnv0Ur3q1Qd5SQN81SdYIa8DlcODQtn,26502,25541,24517,23032,21729,18759,1629,9241,7830,8.711229946524064,49.41711229946524,41.87165775401069,1995,26502,70.78333710663345,41.744019319296655,-29.21666289336654,-58.255980680703345,-41.02564102564102,684,4467,5912,6.1827714001627045,40.377836030009945,53.43939256982735,139018.9775574391,1537966.9487179487,58.97435897435898,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17209,かほく市,石川中央,34889,36200,30439,87.24526355011608,4300824,1872661,1728929,23439228,118807.29281767955,18.34882957749291,3616375.186077348,84.08563535911601,17209_かほく市_人口ピラミッド_2020-2050.mp4,1XcjLmuepR1Nrb5057m6L4dKaPTGcJ5P0,34722,34670,34847,34651,34219,35517,5028,20021,10246,14.245643858903529,56.72474854795296,29.029607593143503,2025,35517,100.0,85.70262127995043,0.0,-14.297378720049558,-14.297378720049558,3778,15829,10832,12.411708663228096,52.00236538651073,35.58592595026118,121091.98412028042,3685918.9046372157,85.70262127995043,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17210,白山市,石川中央,110408,112524,94293,85.40413738134917,18992021,7395600,9531908,63716310,168781.9576268174,29.807157696357496,15914957.130505493,83.79812306707902,17210_白山市_人口ピラミッド_2020-2050.mp4,1l1UqPqM2lJToAWLobDjzuOtIJbQCmMYL,103580,106977,109450,110459,109287,109024,14127,62245,31927,13.04444177693238,57.47513827459164,29.480419948475976,2010,110459,98.7008754379453,85.36470545632316,-1.2991245620546987,-14.635294543676835,-13.511703845024947,11398,48501,34394,12.087853817356537,51.436479908370714,36.47566627427275,174200.36872615205,16425875.368295055,86.48829615497505,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
17211,能美市,南加賀,48523,49704,42084,86.73000432784453,9049204,3461969,4461452,30440155,182061.8863672944,29.72785125437108,7661892.425881217,84.66924191211976,17211_能美市_人口ピラミッド_2020-2050.mp4,1Iti3xQYXSMxzXqeMCK_d59nBkobzNrco,42033,45077,47207,48680,48881,48260,6182,28964,12877,12.872998354954918,60.312766799242034,26.814234845803053,2015,48881,98.7295677257012,86.09480166117714,-1.270432274298805,-13.905198338822855,-12.79734769995856,4584,22172,15328,10.892500712859993,52.685105978519154,36.422393308620855,187509.40737670948,7891145.900041442,87.20265230004144,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html
