code5,city,region,pop2020,pop_current_2025jan,pop2050,pop2050_index_2020,local_tax_thousand,resident_tax_thousand,fixed_tax_thousand,revenue_total_thousand,per_capita_tax_yen,tax_share_revenue_pct,tax2050_simple_thousand,tax2050_simple_index,video_file,drive_id,pop1995,pop2000,pop2005,pop2010,pop2015,pop_current,youth_count,working_count,elderly_count,youth_pct,working_pct,elderly_pct,peak_year,peak_pop,current_index_peak,pop2050_index_peak,peak_to_current_pct,peak_to_2050_pct,current_to_2050_pct,youth2050_count,working2050_count,elderly2050_count,youth2050_pct,working2050_pct,elderly2050_pct,per_capita_tax_yen_latest,tax2050_simple_thousand_latest,tax2050_simple_index_latest,source_historical,source_current_age,source_future,source_tax,foreign_2025,foreign_2024,増減_把握分,foreign_share_pct,県人口シェア_2025,県人口シェア_2050,人口順位_2025,特徴タグ,産業企業特徴,農林水産観光特徴,土砂災害警戒区域_土石流,土砂災害警戒区域_地すべり,土砂災害警戒区域_急傾斜地,土砂災害警戒区域_合計,砂防指定地数,地すべり防止区域数,急傾斜地崩壊危険区域数,砂防三法_合計,主なイベント,主な学校,市町村合併,出身・ゆかりの著名人
17201,金沢市,石川中央,463254,443123,404449,87.30609989336303,85876202,36880971,33766210,217429616,193797.6634027121,39.496092381453686,78381271.16556351,91.27240066527804,17201_金沢市_人口ピラミッド_2020-2050.mp4,1tE21iqw9Egoy2MQqd5VSUUcJDMNxnNzb,453975,456438,454607,462361,465699,454163,49606,266242,124134,11.274552140769394,60.51202094631144,28.213426912919164,2015,465699,97.52286348048848,86.84772782419546,-2.4771365195115247,-13.152272175804548,-10.9462902085815,41202,216602,146645,10.187192946453075,53.554836332887454,36.257970720659465,189086.741984706,76475943.70897233,89.0537097914185,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,9094,7998.0,1096.0,2.002364789734082,41.67175907320036,45.09907995196259,1,県都・商業、観光・文化、機械・IT、加賀野菜,県庁所在地で、商業、医療・福祉、教育、観光などのサービス業が集積する。機械・IT分野では澁谷工業、アイオーデータなどの本社が立地し、伝統工芸も地域経済の柱。,五郎島金時、加賀れんこん、すいかなどの都市近郊農業が特徴。,230.0,82.0,247.0,559.0,106.0,13.0,39.0,158.0,金沢百万石まつり、金沢マラソン、金沢JAZZ STREET,金沢大学、金沢美術工芸大学、金沢泉丘高等学校、金沢二水高等学校,平成の大合併なし,泉鏡花（小説家）、鹿賀丈史（俳優）、井上あずみ（歌手）、松本薫（柔道家）
17202,七尾市,中能登,50300,46500,27443,54.55864811133201,7721475,2585710,4107528,68659241,166053.2258064516,11.24608266496858,4556998.675806452,59.01720430107527,17202_七尾市_人口ピラミッド_2020-2050.mp4,1IOj0mBEb7TCMmIVXxvfKlTdLGrhH2a35,67368,63963,61871,57900,55325,44555,3761,21855,18401,8.54442601722062,49.65127109980234,41.80430288297703,1995,67368,66.13674147963424,40.735957724735776,-33.86325852036576,-59.26404227526423,-38.40646392099652,1906,11901,13636,6.945304813613672,43.36625004554895,49.68844514083737,173302.09852990686,4755929.489956234,61.59353607900348,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,913,815.0,98.0,2.049152732577713,4.088147263221447,3.0600991747333017,7,能登の拠点、港湾・水産、和倉温泉、食品製造,能登中部の商業・医療・港湾拠点。和倉温泉の観光、七尾港、水産加工が重要で、スギヨ、加賀屋、EIZO七尾工場などが立地する。,能登かき、水産物、能登島の野菜や果樹など、海と農業を組み合わせた産業構造。,192.0,45.0,201.0,438.0,15.0,8.0,54.0,77.0,青柏祭、能登よさこい祭り、七尾港まつり,七尾高等学校、七尾東雲高等学校、田鶴浜高等学校,2004年：旧七尾市＋田鶴浜町＋中島町＋能登島町,輪島大士（大相撲力士・第54代横綱）、辻口博啓（パティシエ）、角中勝也（プロ野球選手）、瓦力（政治家）
17203,小松市,南加賀,106216,105475,86175,81.131844543195,16647959,7538752,7040502,57325090,157837.96160227543,29.04131332371218,13601686.341076083,81.70182507703247,17203_小松市_人口ピラミッド_2020-2050.mp4,1XSnyOgz7A2PKCMy3bvHqJ1acUWGBy25u,107965,108622,109084,108433,106919,103332,12502,59231,30244,12.25962717083264,58.08270492365926,29.657667905508102,2005,109084,94.7269993766272,78.99875325437277,-5.273000623372814,-21.00124674562722,-16.603762629195217,9460,45168,31547,10.977661734841892,52.414273281114006,36.6080649840441,161111.35950141292,13883771.405034255,83.39623737080477,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,3436,3240.0,196.0,3.325204196183176,9.48123517008638,9.60915520834611,3,建設機械、製造業、空港・物流、農業,県内有数の製造業都市。コマツ粟津工場、小松ウオール工業などの大規模事業所があり、建設機械、機械部品、繊維関連の裾野が広い。,米、トマト、たけのこなどの農業に加え、小松空港を生かした交流・物流機能を持つ。,181.0,13.0,66.0,260.0,27.0,0.0,13.0,40.0,お旅まつり、小松市どんどんまつり、航空祭 in KOMATSU,公立小松大学、小松高等学校、小松工業高等学校,平成の大合併なし,宮本三郎（洋画家）、一川保夫（政治家）、元谷外志雄（実業家）、島内宏明（プロ野球選手）
17204,輪島市,奥能登,24608,20928,10754,43.70123537061119,2048765,674628,1037965,114207932,97895.88111620797,1.7938902877603982,1052772.3055237003,51.38570336391437,17204_輪島市_人口ピラミッド_2020-2050.mp4,1znmRZHzeMoqLZwLc0Lw_sqM06tBhg6jk,37133,34531,32823,29858,27216,18708,1140,7708,9737,6.133979015334948,41.474307237019104,52.39171374764595,1995,37133,50.38106266663076,28.96076266393774,-49.61893733336924,-71.03923733606226,-42.5165704511439,626,4176,5952,5.821089827041101,38.832062488376415,55.34684768458248,109512.77528330126,1177700.3853966217,57.4834295488561,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,124,98.0,26.0,0.6628180457558264,1.7165538996823442,1.1991512052283615,12,輪島塗、漁業、観光、震災復興,輪島塗を中心とする伝統工芸、朝市・観光、漁業、農林業が中心。大規模企業よりも地域の中小事業者と家族経営の比重が高い。,水産物、米、里山・里海の農林水産業が特徴。震災後は事業再開と担い手確保が大きな課題。,374.0,217.0,375.0,966.0,116.0,49.0,78.0,243.0,輪島大祭、輪島市民まつり、あえの風冬まつり,輪島高等学校、門前高等学校、輪島中学校,2006年：旧輪島市＋門前町,永井豪（漫画家）、前史雄（漆芸家・人間国宝）、山中毅（競泳選手）、北村茂男（政治家）
17205,珠洲市,奥能登,12929,11374,5083,39.31471884909893,1141573,418908,535101,85470396,100366.88939687006,1.335635557368893,510164.8988042905,44.68964304554247,17205_珠洲市_人口ピラミッド_2020-2050.mp4,1SKeDb3_Iql-G83m5MjJRtVR9BHJhT88V,21580,19852,18050,16300,14625,9812,583,3792,5416,5.954447962414462,38.72944540904913,55.31610662853641,1995,21580,45.46802594995366,23.55421686746988,-54.53197405004634,-76.44578313253012,-48.196086424785975,285,1655,3143,5.606925044265198,32.55951209915404,61.83356285658076,116344.57806767224,591379.4903179781,51.80391357521403,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,88,74.0,14.0,0.8968609865470852,0.9003007731282424,0.5667924099103369,17,製塩、珪藻土、農林水産、震災復興,製塩、珪藻土製品、観光、農林水産業が中心。人口規模は小さいが、能登独自の地域資源を活用した産業が多い。,米、豆類、野菜、漁業など。震災後の人口流出と地域産業の再建が将来人口を左右する。,91.0,76.0,164.0,331.0,54.0,27.0,29.0,110.0,飯田燈籠山祭り、珠洲まつり、奥能登国際芸術祭,飯田高等学校、緑丘中学校、大谷小中学校,平成の大合併なし,井道千尋（将棋棋士）、吉田豊（言語学者）、千田一路（俳人）、神保重吉（政治家）
17206,加賀市,南加賀,63220,61703,36571,57.84720025308447,9282196,3793916,4049939,38849060,150433.46352689498,23.89297450182836,5501502.194642075,59.26940343257216,17206_加賀市_人口ピラミッド_2020-2050.mp4,1EQ5XMua-29R9L6g169w7BFwWxlVle537,80333,78563,74982,71887,67186,58747,5655,30964,21893,9.664684167350288,52.9190593382554,37.41625649439431,1995,80333,73.12934908443603,45.52425528736634,-26.870650915563964,-54.475744712633656,-37.74831055202819,2786,15950,17835,7.61805802411747,43.61379234912909,48.76814962675344,158002.893764788,5778323.827872062,62.25168944797181,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,1735,1573.0,162.0,2.9533422983301274,5.390335254684555,4.077939252966935,4,温泉観光、機械製造、伝統工芸、果樹,山代・山中・片山津温泉を中心とする観光と製造業が二本柱。大同工業の本社・工場、小松ウオールの工場などが立地し、山中漆器や九谷焼の文化もある。,米、なし、ぶどうなどの農業が行われ、温泉・食・工芸を組み合わせた観光産業が強い。,78.0,21.0,101.0,200.0,22.0,2.0,18.0,42.0,山代大田楽、山中温泉こいこい祭、片山津温泉納涼花火,大聖寺高等学校、大聖寺実業高等学校、加賀高等学校,2005年：旧加賀市＋山中町,ダンディ坂野（お笑いタレント）、道場六三郎（料理人）、深田久弥（作家・登山家）、中谷宇吉郎（物理学者）
17207,羽咋市,中能登,20407,19585,11063,54.211790072034105,2607857,1039348,1168844,18090708,133155.83354608118,14.415450185808096,1473102.9865202962,56.48710748021445,17207_羽咋市_人口ピラミッド_2020-2050.mp4,1Qrnv0Ur3q1Qd5SQN81SdYIa8DlcODQtn,26502,25541,24517,23032,21729,18759,1629,9241,7830,8.711229946524064,49.41711229946524,41.87165775401069,1995,26502,70.78333710663345,41.744019319296655,-29.21666289336654,-58.25598068070335,-41.02564102564102,684,4467,5912,6.1827714001627045,40.377836030009945,53.43939256982735,139018.9775574391,1537966.9487179487,58.97435897435898,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,267,,,1.4233168079321925,1.7212334083889829,1.2336070098048508,11,能登の玄関口、電子機器、観光、自然栽培,能登南部の交通・商業拠点。EIZO羽咋工場などの製造業があり、千里浜なぎさドライブウェイを中心とする観光も重要。,神子原米、自然栽培、いちじく、ぶどうなど、地域ブランド型の農業がみられる。,54.0,7.0,17.0,78.0,29.0,4.0,4.0,37.0,唐戸山神事相撲、羽咋まつり、千里浜関連イベント,羽咋高等学校、羽咋工業高等学校、羽咋中学校,平成の大合併なし,折口信夫（民俗学者・歌人（羽咋ゆかり））、高野誠鮮（地域活性化活動家・科学ジャーナリスト）、諏訪綾子（フードアーティスト）、東善作（飛行家（羽咋ゆかり））
17209,かほく市,石川中央,34889,36200,30439,87.24526355011608,4300824,1872661,1728929,23439228,118807.29281767955,18.34882957749291,3616375.186077348,84.08563535911601,17209_かほく市_人口ピラミッド_2020-2050.mp4,1XcjLmuepR1Nrb5057m6L4dKaPTGcJ5P0,34722,34670,34847,34651,34219,35517,5028,20021,10246,14.245643858903527,56.72474854795296,29.029607593143503,2025,35517,100.0,85.70262127995043,0.0,-14.297378720049558,-14.297378720049558,3778,15829,10832,12.411708663228096,52.00236538651073,35.58592595026118,121091.98412028042,3685918.904637216,85.70262127995043,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,483,,,1.3599121547427993,3.2588649163469,3.3941755194296173,9,IT・電子、繊維、金沢通勤圏、ぶどう,金沢通勤圏として人口が比較的安定し、IT・電子と繊維産業が特徴。PFUの石川本社・開発生産拠点が立地する。,高松ぶどう、米、砂丘地を利用した野菜などの農業が行われる。,12.0,2.0,30.0,44.0,7.0,0.0,7.0,14.0,かほく四季まつり、サマーフェスタinかほく、かほく市制記念イベント,石川県立看護大学、宇ノ気中学校、河北台中学校,2004年：高松町＋七塚町＋宇ノ気町,西田幾多郎（哲学者）、奥川恭伸（プロ野球選手）、宮崎由加（歌手・タレント）、山瀬慎之助（プロ野球選手）
17210,白山市,石川中央,110408,112524,94293,85.40413738134917,18992021,7395600,9531908,63716310,168781.9576268174,29.807157696357496,15914957.130505493,83.79812306707902,17210_白山市_人口ピラミッド_2020-2050.mp4,1l1UqPqM2lJToAWLobDjzuOtIJbQCmMYL,103580,106977,109450,110459,109287,109024,14127,62245,31927,13.04444177693238,57.47513827459164,29.480419948475976,2010,110459,98.7008754379453,85.36470545632316,-1.2991245620546987,-14.635294543676835,-13.511703845024948,11398,48501,34394,12.087853817356535,51.43647990837072,36.47566627427275,174200.36872615205,16425875.368295057,86.48829615497505,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,2203,2010.0,193.0,2.020656002348107,10.003505043776345,10.51437275382164,2,大規模製造業、物流、金沢都市圏、園芸農業,県内第2位の人口規模を持ち、国道8号沿線や工業団地に製造・物流企業が集積する。EIZO本社など、研究開発と生産機能を持つ企業が立地。,米、なし、トマト、ブロッコリー、白ねぎなど、手取川扇状地を生かした農業が盛ん。,139.0,20.0,91.0,250.0,185.0,6.0,23.0,214.0,ほうらい祭り、白峰若葉まつり、白山白川郷ウルトラマラソン,金城大学、金城大学短期大学部、松任高等学校、翠星高等学校,2005年：松任市＋美川町＋鶴来町＋河内村＋吉野谷村＋鳥越村＋尾口村＋白峰村,本谷有希子（劇作家・小説家）、浅川マキ（歌手）、西垣匠（俳優）、奥田敬和（政治家）
17211,能美市,南加賀,48523,49704,42084,86.73000432784453,9049204,3461969,4461452,30440155,182061.8863672944,29.72785125437108,7661892.425881217,84.66924191211976,17211_能美市_人口ピラミッド_2020-2050.mp4,1Iti3xQYXSMxzXqeMCK_d59nBkobzNrco,42033,45077,47207,48680,48881,48260,6182,28964,12877,12.872998354954918,60.312766799242034,26.814234845803053,2015,48881,98.7295677257012,86.09480166117714,-1.270432274298805,-13.905198338822856,-12.79734769995856,4584,22172,15328,10.892500712859992,52.685105978519154,36.422393308620855,187509.40737670948,7891145.900041442,87.20265230004144,https://toukei.pref.ishikawa.lg.jp/library/2024.html,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=5285,https://toukei.pref.ishikawa.lg.jp/search/detail.asp?d_id=4831,https://www.pref.ishikawa.lg.jp/sichousien/hikakubunseki/r6.html,1746,1575.0,171.0,3.617903025279735,4.4280998074978575,4.692679869893098,6,先端製造業、繊維・素材、半導体、外国人比率高め,製造業の比重が高く、小松マテーレ、加賀東芝エレクトロニクスなど、繊維・高機能素材・半導体関連の事業所が立地する。,加賀丸いも、米などが代表的。製造業の人手を外国人住民が支える面も大きい。,64.0,1.0,41.0,106.0,2.0,0.0,4.0,6.0,九谷陶芸村まつり、根上り七夕まつり、辰口まつり,北陸先端科学技術大学院大学、寺井高等学校、辰口中学校,2005年：根上町＋寺井町＋辰口町,松井秀喜（元プロ野球選手）、森喜朗（政治家・元内閣総理大臣）、京田陽太（プロ野球選手）、鈴木雄介（競歩選手）
