市町,氏名,分野,肩書き・概要
金沢市,泉鏡花,文化,小説家
金沢市,鹿賀丈史,芸能,俳優
金沢市,井上あずみ,芸能,歌手
金沢市,松本薫,スポーツ,柔道家
七尾市,輪島大士,スポーツ,大相撲力士・第54代横綱
七尾市,辻口博啓,文化,パティシエ
七尾市,角中勝也,スポーツ,プロ野球選手
七尾市,瓦力,政治,政治家
小松市,宮本三郎,文化,洋画家
小松市,一川保夫,政治,政治家
小松市,元谷外志雄,経済,実業家
小松市,島内宏明,スポーツ,プロ野球選手
輪島市,永井豪,文化,漫画家
輪島市,前史雄,文化,漆芸家・人間国宝
輪島市,山中毅,スポーツ,競泳選手
輪島市,北村茂男,政治,政治家
珠洲市,井道千尋,文化,将棋棋士
珠洲市,吉田豊,学術,言語学者
珠洲市,千田一路,文化,俳人
珠洲市,神保重吉,政治,政治家
加賀市,ダンディ坂野,芸能,お笑いタレント
加賀市,道場六三郎,文化,料理人
加賀市,深田久弥,文化,作家・登山家
加賀市,中谷宇吉郎,学術,物理学者
羽咋市,折口信夫,文化,民俗学者・歌人（羽咋ゆかり）
羽咋市,高野誠鮮,文化,地域活性化活動家・科学ジャーナリスト
羽咋市,諏訪綾子,文化,フードアーティスト
羽咋市,東善作,文化,飛行家（羽咋ゆかり）
かほく市,西田幾多郎,学術,哲学者
かほく市,奥川恭伸,スポーツ,プロ野球選手
かほく市,宮崎由加,芸能,歌手・タレント
かほく市,山瀬慎之助,スポーツ,プロ野球選手
白山市,本谷有希子,文化,劇作家・小説家
白山市,浅川マキ,芸能,歌手
白山市,西垣匠,芸能,俳優
白山市,奥田敬和,政治,政治家
能美市,松井秀喜,スポーツ,元プロ野球選手
能美市,森喜朗,政治,政治家・元内閣総理大臣
能美市,京田陽太,スポーツ,プロ野球選手
能美市,鈴木雄介,スポーツ,競歩選手
野々市市,米林宏昌,文化,アニメーション監督
野々市市,吉田メタル,芸能,俳優
野々市市,大倉颯太,スポーツ,バスケットボール選手
野々市市,村浜武洋,スポーツ,プロレスラー
川北町,角ゆりあ,芸能,アイドル
川北町,江戸満,政治,政治家
川北町,曄道文芸,学術,法学者
津幡町,大の里泰輝,スポーツ,大相撲力士
津幡町,川井梨紗子,スポーツ,レスリング選手
津幡町,川井友香子,スポーツ,レスリング選手
津幡町,野際陽子,芸能,俳優
内灘町,松村玲郎,芸能,キャスター
内灘町,喜多形寛丈,文化,ピアニスト・作編曲家
内灘町,上田樹,スポーツ,サッカー選手
内灘町,坂上樹大,スポーツ,競輪選手
志賀町,小松辰雄,スポーツ,元プロ野球選手
志賀町,板倉美紀,スポーツ,陸上競技選手
志賀町,坪野哲久,文化,歌人
志賀町,岡部文夫,文化,歌人
宝達志水町,新川二朗,芸能,歌手
宝達志水町,萩山教嚴,政治,政治家
宝達志水町,石森大誠,スポーツ,プロ野球選手
宝達志水町,中村和美,スポーツ,バレーボール選手
中能登町,近藤和也,政治,政治家
中能登町,神和住純,スポーツ,テニス選手
中能登町,山下カズ子,文化,将棋棋士
中能登町,永源遙,スポーツ,プロレスラー
穴水町,遠藤聖大,スポーツ,大相撲力士
穴水町,三枝こころ,芸能,ファッションモデル
穴水町,坂本三十次,政治,政治家
穴水町,三輪一雄,芸能,歌手
能登町,益谷秀次,政治,政治家
能登町,西谷啓治,学術,哲学者
能登町,津雲むつみ,文化,漫画家
能登町,岩下大輝,スポーツ,プロ野球選手
